가맹번호,지역,업종,상호,소재지,위도,경도,기준일자
2,고현동,서비스,다수리부분정비,경상남도 거제시 중곡2로4길 8,34.89478449,128.6266632,2021-09-16
3,수양동,서비스,형제명품손세차,경상남도 거제시 수양로 488-1 (양정동),34.89165227,128.6378318,2021-09-16
6,장평동,일반음식점,㈜두리원,경상남도 거제시 거제대로 4943-8 (장평동),34.88903997,128.5967085,2021-09-16
7,장승포동,주유소,경인주유소,경상남도 거제시 장승포동 627,34.85914087,128.7207623,2021-09-16
10,장평동,주유소,새거제주유소,경상남도 거제시 장평동 861-3,34.89500319,128.5865435,2021-09-16
12,고현동,주유소,신진주유소,경상남도 거제시 고현동 17-1,34.88988519,128.6275012,2021-09-16
14,고현동,일반음식점,장충동B&F왕족발보쌈,경상남도 거제시 서문로 79(고현동),34.89026208,128.6243422,2021-09-16
22,능포동,도소매,대우식육점,경상남도 거제시 능포동 681-6,34.87546395,128.7317122,2021-09-16
23,고현동,도소매,토마토,경상남도 거제시 거제중앙로 1905(고현동),34.88805198,128.6228814,2021-09-16
24,옥포동,도소매,동은 BYC,경상남도 거제시 옥포동 525-15,34.89443252,128.6898562,2021-09-16
25,옥포동,도소매,세일유통,경상남도 거제시 옥포2동 529-6-11,34.90478579,128.6985218,2021-09-16
26,장목면,도소매,원진수산,경상남도 거제시 장목면 외포5길 66,34.93880059,128.7180992,2021-09-16
28,능포동,도소매,영남금당,경상남도 거제시 능포로 146(능포동),34.87648083,128.7320057,2021-09-16
29,옥포동,보건업,옥포동한의원,경상남도 거제시 옥포2동 513-3번지,34.89593192,128.6909191,2021-09-16
30,고현동,도소매,새시 장 식육점,경상남도 거제시 고현동 98-27,34.88625409,128.6236554,2021-09-16
32,고현동,일반음식점,홍길이횟집,경상남도 거제시 거제중앙로26길 7，1층 (고현동),34.88921191,128.623459,2021-09-16
33,옥포동,도소매,니트모아,경상남도 거제시 옥포2동 529-2 1호,34.89393015,128.6894253,2021-09-16
36,고현동,도소매,시 장종합화장품,경상남도 거제시 고현동 98-27,34.88625409,128.6236554,2021-09-16
